Jump to:,,,,,,,,ア,,,,,イ,,,,,ウ,,,,,エ,,,,,オ,,,,,カ,,,,,キ,,,,,ク,,,,,ケ,,,,,コ,,,,,サ,,,,,ツ,,,,,ス,,,,,セ,,,,,ソ,,,,,タ,,,,,チ,,,,,ツ,,,,,テ,,,,,ト,,,,,ナ,,,,,二,,,,,ヌ,,,,,ネ,,,,,ノ,,,,,ハ,,,,,ヒ,,,,,フ,,,,,へ,,,,,ホ,,,,,マ,,,,,ミ,,,,,ム,,,,,メ,,,,,モ,,,,,ヤ,,,,,ユ,,,,,ヨ,,,,,ラ,,,,,リ,,,,,ル,,,,,レ,,,,,ロ,,,,,ワ,,,,,ン,
,,,,,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation
ン,,,,,,,,,,,いちゃ,,*cuddle*;,"(2) Publicly showing affection, of attraction.",,,,,,,えっ,,,,,,,*bwa ha ha ha*,,,,,(3) *munch crunch* *munch munch*,,,ぎーこ,,,,,,,*good job*;,,,"ゲホ,",geho,*cough*,"See also *goho*, *kehen*, *kon*, and *koho*. ",,ごーん,,(2) *gong* *doong* *dong* *gwoong*,"(2) SFX for the resounding sound of a bell, such as the ringing sound of a temple bell. ",,"サッサッ,",sa sa,*brush* *stroke* *swish* *sketch* *fwsh*,"Light, quick, brushing motion. Like writing with pencil on paper. ",,"ジャーン,",ja-n,tadahhh!,,,,,(11) *step* *steps in*,,,ぜえ,,,,,,,,,,だあっ,,,,,ちゃぽん,,,,,つぶ,,,,,,,,,,,,(6) *stomp* *slam*;,,,"ナシ,",nashi,*smack*,See also *bashi* and *pashi*. ,,"ニカッ,",nika,*grin* *smile*,Can be innocent or cheeky ,,ぬー,,,,,,,,,,"ノソノソ,",noso noso,*slowly*,See also *nosori-nosori* and *nossori*. ,,,,*crash* *ka-boom*,,,"ビーッ,",bi-,*beep* *beeeeeep*,"Short or longer sound, a high-pitched crying SFX. ",,,,,,,べちゃ,,,,,,,,,,,,,,,"ミイー,",mii-,*meow*,SFX for the meowing of a cat. ,,むーん,,(2) *hmm* *heeehh* *huh* *mmmph* *mmm*,,,,,,,,もぐもぐ,,,,,"ヤンワリ,",yanwari,(1) *soft*;,"(1) Very soft, tender;",,"ユラァ,",yuraa,(1) *wobble* *shaky* *unsteady*;,(1) As if to stand up on shaky legs;,,,,*slowly*,,,らんっ,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *waaah*,,,,,,
Use CTRL + F to search for SFX,,,,,,"アーッ,",a-,ahh-,"Strong version of あっ (Ah) (exclamation of surprise, amazement, ",,,,(2) *flirt*,,,"ウーッ,",u-,*growl*,Dog growling. ,,"エー,",e-,*awwwww* *eeeeeehhhhhh*,,,"オチオチ,",ochi ochi,*can't sleep* *worry*,"Used with a negative verb, unable to sleep due to worries. ",,"ガッ ガッ,",ga ga,*bish bash*,"SFX for crashing or smashing with force, often used in a fight. ",,,,,,,,,(8) *swallow* *gulp*,,,げほ,,,,,,,,,,さっさっ,,,,,じゃーん,,,,,"ス,",su,(1) *lift*;,"(3) A smooth, almost covert move;",,"ゼェーゼェー,",zee- zee-,*pant pant* *puff puff*,"SFX for being very exhausted, out of breath. ",,"ソロソロ,",soro soro,(1) *soon*,"(1) Usually used when announcing that it's time to do something, or ""it's about time to ___"".",,,,,,,,,,,,,,,,,"デレデレ,",dere dere,(1) *really clumsy*;,"Super clumsy because you see someone gorgeous. To go goofy over someone, to fawn. ",,,,(7) *slump* *guhh*,,,なし,,,,,にかっ,,,,,"ヌブ,",nubu,*thwap*,,,,,,,,のそのそ,,*lazily*,,,,,*thump* *thud*,,,びーっ,,,,,"ブッブッ,",bu bu,*drip drip*,"Larger than *pi*, drops of liquid/water falling. ",,,,,See also *becha becha*. ,,"ボーン,",bo-n,*boom*,,,,,,,,みいー,,,,,,,,,,"メエメエ,",mee mee,*baa baa*,SFX for a sheep call. ,,,,,"See also *mogu* (モグ), and *momu momu* (モムモム). ",,やんわり,,(2) *softly* *slowly* *whisper* *quietly* *gently*,(2) To speak softly or slowly. ,,ゆらぁ,,(2) *drift* *fwish* *fwoosh* *whoosh*,(2) SFX for the movement of air ,,,,*carefully*,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワーッ,",wa-,*wow* *yay* *delight*,,,"ンボーッ,",nbo-,*spaced out* *daydreaming* *dazed*,"Kind of a slow reaction state, when one is very tired or groggy from lack of sleep or exhaustion. (Even the SFX is exhausted with the ""n"" sound before the *bo-* SFX.) See also *bo-*. "
"Any issues or feedback 
Feel free to contact anyone of us",,,,,,あーっ,,,relief) ,,,,,See also *ichya ichya*. ,,うーっ,,,,,えー,,,,,おちおち,,,,,がっ がっ,,*wham bam*,,,"ギエー,",gie-,nyooo! aghhhh!!!,A scream used usually when something scares you to death. ,,"ググ,",gu gu,(1) *squash*;,,,,,,,,,,,,,,,,,,"ジャババ,",jababa,*fwisshh*,SFX for faucet running. ,,す,,(2) *reach*;,"(4) SFX for a deadly shift in mood, such as suddenly looking at something or someone with deadly force;",,ぜぇーぜぇー,,,,,そろそろ,,*it's time*,Often used in everyday speech: 「そろそろ時間だ」.,,"ダアアン,",daan,*smash* *crash*,SFX usually used for fight scenes. ,,"チャポンチャポン,",chapon chapon,*splosh splosh*,SFX for being in water. ,,"ツブツブ,",tsubu tsubu,*freckly*,SFX for little freckle-type things. ,,でれでれ,,(2) *sloppy* *loose*,,,"ドーン,",do-n,(1) *doom*;,(3) SFX for an explosion ,,,,,,,,,,,,ぬぶ,,,,,,,,,,,,*heavily*,,,,,*wham* *whomp*;,,,,,,,,ぶっぶっ,,*drop drip*,,,,,,,,ぼーん,,,,,,,,,,,,,,,"ムチムチ,",muchi muchi,*full-bodied*,"Plump or full-bodied, but mobile or flexible. ",,めえめえ,,*meeh meeh*,,,,,,,,,,,,,,,,,,"ヨイヨイ,",yoi yoi,*stiff*,To lose one's reflexes or strength. ,,"ランラン,",ran ran,*la la*,SFX for skipping and humming a happy tune. ,,,,,,,,,,,,,,,,,,,,,,わーっ,,,,,んぼーっ,,,
,,,,,,,,,,,,,,,,,,,,,"エーン,",e-n,*cry* *sob*,,,,,,,,,,,,,ぎえー,,,,,ぐぐ,,(2) *grip*;,,,"ゲホゲホ,",geho geho,*cough cough* *choke*,SFX for when you are choking/coughing. ,,"ゴーンゴーン,",go-n go-n,*ding dong*,Very loud sound of a bell. ,,"サー,",sa-,(1) *rain* *hss*;,"(1) Hissing, rain, water running (softer sound than *zaa*, which can also be rain). ",,じゃばば,,,,,,,(3) *slide* *steps in*;,"(5) SFX for breathing, using the Japanese phrase ""to smoke"" or 「タバコをすう」 ",,,,,,,,,*time to go*;,(2) To perform an action with care and/or patience.,,だああん,,,,,ちゃぽんちゃぽん,,*shplosh shplosh*,,,つぶつぶ,,,,,,,,,,どーん,,(2) *ta-dah* *tah-dah* *ta-da*;,,,,,,,,"ニッコニッコ,",nikko nikko,*smile smile* *smiling* *laugh* *grin grin*,,,"ヌチ,",nuchi,*stroke*,,,,,,,,,,*sluggishly*,,,,,(10) *suddenly*,,,"ビーン,",bi-n,*twang*,"Like the sound of strumming the string of a guitar, except hitting the wrong note(s). ",,,,,,,,,,,,"ボーゼン,",bo-zen,(1) *dumbfounded* *confused* *confuzzled*;,"SFX for being caught unawares, or to be semi-shocked (not necessarily in a negative context). ",,,,,,,"ミンミンミン,",minminmin,*krrt krrt krrt*,Sounds of a cicada. ,,むちむち,,*bouncy*,,,,,,,,,,,,,,,,,,,,,,,よいよい,,*lost reflexes*,,,らんらん,,,,,,,,,,,,,,,,,,,,,,,,,"ワーイ,",wa-i,*yay* *woohoo* *yes* *yeah*,"Positive cheering, expression of cheerfulness or happiness. ",,,,,
,,,,,,,,,,,,,,,,"ウーッ,",u-,*urrgh!* *grrr!*,Sound of anger. ,,えーん,,,,,"オドオド,",odo odo,*at a loss* *insecure*,"Timorous, insecure. ",,"ガー,",ga-,(1) gaaaahh;,(1) Usually to explain sounds of large machines at work. Ex. vacuum cleaners. Or when a person is emotionally built up about something;,,,,,,,,,(3) *groan*;,,,げほげほ,,,,,ごーんごーん,,,,,さー,,(2) *rustling* *wind*,,,,,,,,,,(4) *sst* *glare*;,,,"ゼヒッゼハッ,",zehizzeha,*huff huff* *wheeze*,SFX for heavy breathing after running a long time. ,,,,(2) *slowly*,Ex: To walk slowly because one foot is in a cast. ,,,,,,,,,*splash splash*,,,,,,,,"デヴー,",devu-,*looms over*,"SFX for something big approaching or hovering or covering something. May be used to emphasize a dramatic effect, such as fear and danger.",,,,(3) *kablooey*,,,,,,,,にっこにっこ,,,,,ぬち,,,,,,,,,,,,*dawdle*,,,,,*jolt* *startle*,,,びーん,,,,,"ブーッ,",bu-,*beep*,In a sense that something is wrong (like on a quiz game show). ,,"ベチャベチャ,",becha becha,(1) *soaked* *drenched*;,See also *becha*. ,,ぼーぜん,,(2) *gape* *mouth open* *duhhh*,,,,,,,,みんみんみん,,,,,,,*plump*,,,"メエーメエー,",mee- mee-,*baa baa*,SFX for a sheep or goat call. ,,"モジ,",moji,*shyness*,,,"ヤレヤレ,",yare yare,*dear me* ,"SFX for exclamation of surprise, disappointment, or some other powerful emotion or reaction. ",,"ユサ,",yusa,*shake*,,,,,*no strength*,,,,,,,,,,,,,,,,,,,,,,,,,,,,わーい,,,,,"ンチュ,",nchu,*kiss*,"See also *buchu*, *chu*, and *uchu*. "
Kitsune Aoi,,,,,,"アー,",a-,ah-,"Intonation: ""yes, okay"" ",,"イチャイチャ,",ichya ichya,*cozy*,"Displaying affection in public, acting cozy.",,うーっ,,,,,"エーット,",e-tto,*uuuuhmm...* *umm* *err*,,,おどおど,,*very nervous*,,,がー,,(2) *quack*;,(2) Sound of a duck;,,"ギッグーん,",giggu-n,*jolt* *shock* *surprise*,"SFX for being caught off-guard, jumping slightly in shock or surprise. ",,,,(4) *choking*;,,,,,,,,,,,,,,,,,,"ジャボン,",jabon,(1) *splash* *splosh*;,(1) Into the water;,,,,(5) *inhale* *breath* *fuu*,,,ぜひっぜはっ,,,,,,,,,,"ダボダボ,",dabo dabo,*too big*,,,"チャプ,",chapu,*dip* *plunk*,Into water. See also *shapu*. ,,"ツカツカツカ,",tsuka tsuka tsuka,*thud thud thud*,Same notion as *suta suta suta* with an emphasis on being ignorant or prideful. ,,でゔー,,*suddenly*,Ex: A looming figure. ,,"ドアッ,",doa,*dash* *runs* *shoom*,"SFX for a sudden burst of speed, usually when a character makes a run for it. ",,,,,,,"ニッコリ,",nikkori,*sweet smile* *smile* *grin*,"Flashing a grin or smile, somewhat stronger than *nikori* (ニコリ). ",,"ヌギッ,",nugi,*unzip* *reveal* *undress*,,,,,,,,"ノソリノソリ,",nosori nosori,*slowly*,See also *noso noso* and *nossori*. ,,,,*aback*;,,,,,,,,ぶーっ,,,,,べちゃべちゃ,,(2) *chattering* *prattling*;,,,,,,,,,,,,,,,,,,"ムフ,",mufu,*tee-hee* *tee hee*,"SFX for light, quiet laughter, as if over an inside joke or a devious plan in the works. ",,めえーめえー,,*meeh meeh*,,,もじ,,*fidget*,,,やれやれ,,*dear oh dear* ,,,ゆさ,,,,,,,*weak*,,,"ランラン,",ranran,*intense* *fiery*,"SFX for an eye expression, for intense, fiery eyes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,んちゅ,,,
Ron_BWL,,,,,,あー,,,,,いちゃいちゃ,,,,,,,,,,えーっと,,,,,,,*shaky*,,,,,(3) *mystical*;,(3) A mystical sound;,,ぎっぐーん,,,,,,,(5) *tugging*;,,,"ゲコッ,",geko,*croak* *ribbit*,Croaking of a frog. ,,"ゴア,",goa,*crack* *crumble* ,"SFX for the after-effects of a large explosion, such as pillars breaking and stones and rocks crumbling. ",,"サー,",sa-,(1) *going pale*; ,"(1) Sound of someone's blood drawing, one going pale; ",,じゃぼん,,(2) *big splash*,(2) See also *shapu* and *zabu*.,,"スー,",su-,(1) *sigh*;,(1) SFX for soft sighing while sleeping;,,,,,,,,,,,,だぼだぼ,,*huge*,,,ちゃぷ,,,,,つかつかつか,,,,,,,*scary*,,,どあっ,,,,,,,,,,にっこり,,,,,ぬぎっ,,,,,,,,,,のそりのそり,,*lazily*,,,,,(11) *unmask*,,,"ビッチリ,",bicchiri,*surprise*,,,,,,,,,,(3) *gooey* *messy*,,,"ボチャ,",bocha,(1) *splat* *splatter*; ,(2) Something falling into a lake. ,,,,,,,"ミシ,",mishi,*creak*,,,むふ,,*hehe* *chuckle* *laugh*,,,,,,,,"モコモコ,",moko moko,*soft and fluffy*,"SFX for soft, light texture, like for a stuffed animal or fluffy clothes. ",,,,*what to do*,,,"ユサユサ,",yusa yusa,*shake shake*,To shake someone. ,,"ヨイショ,",yoisho,(1) *grunt*;,"A grunt which one says when they are about to perform a task, especially a physical task they don't want to do. Like ""here we go""; see also *ヨッコラセ* (Yokkorase), *アラヨット* (Arayotto). ",,らんらん,,,,,,,,,,,,,,,,,,,,,,,,,"ワーンッ,",wa-n,(1) *bawling* *waahh*;,"(1) SFX for a long, wailing cry of despair;",,,,,
,,,,,,,,,,,,,,See also *ichya*. ,,"ウー,",u-,(1) hmm; ,(2) Sound of anger. ,,"エッチャラオチャラ,",ecchara o chara,*unsteadily* *wobbly* *wobble* *swaying*,To walk in an unbalanced manner. ,,"オッフオッフ,",offu offu,*bwahaha*,"SFX for loud, evil laughter. ",,,,(4) *whirl*,"(4) SFX for the movement of something mechanical, like that of a robot. ",,,,,,,,,(6) *simmer* *boil*,,,げこっ,,,,,ごあ,,*rumble* *roar*,,,さー,,(2) *fsshhh*,(2) A light flow of water. ,,,,,"See also *bashan*, *picha*, and *pisha* for smaller splashes. ",,すー,,(2) *slide*,"(2) Like when opening a sliding door, or when someone is opening their eyes. ",,"ゼイ,",zei,*wheeze* *gasp*,,,"ソロリソロリ,",sorori sorori,*tip toe tip toe*,SFX for sneaking away or sneaking by very carefully. ,,,,*oversize*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ヌケヌケ,",nuke nuke,*nonchalantly*,,,,,,,,,,*heavily*,,,,,*reveal*,,,びっちり,,,,,"ブー,",bu-,*oink*,SFX for the oinking of a pig or warthog. ,,"ベチ,",bechi,*sticky*,"Dropping something sticky, see *beto beto*. ",,ぼちゃ,,(2) *splash*,,,,,,,,みし,,,,,,,,,,"メキ,",meki,*rip* *crack*,"When something tears/breaks, usually due to overgrowth, like a tree. ",,もこもこ,,*fluffy fluffy*,,,,,*oh goodness*,,,ゆさゆさ,,,,,よいしょ,,(2) *alrighty*,,,,,,,,,,,,,,,,,,,,,,,,,,,,わーんっ,,(2) *waahh* *grrr*,(2) SFX for a loud cry of outrage or unhappiness with something ,,"ンゴーンガー,",ngo- nga-,*hrrm mrmm*,"SFX for unintelligible muttering or murmuring sounds, such as the sounds made when one is tossing and turning in one's sleep. "
Come to our Discord to contact us: ,,,,,,"アーアー,",a- a-,*yawn*,,,,,,,,うー,,(2) *urrgh!* *grrr!*,,,えっちゃらおちゃら,,,,,おっふおっふ,,*mwahaha*,,,,,,,,"ギギィー,",gigii-,*crrrreeeak*,"Ex: an old door opening, ship creaking. ",,"グー,",gu-,*zzz*,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぜい,,,,,そろりそろり,,*sneak sneak*,,,"ダブダブ,",dabu dabu,(1) *baggy*;,(1) Ex: large pants that are too baggy;,,"チャラ,",chara,(1) *clatter*;,"(2) SFX for a light tinkling, bell-like sound. Can be mechanical, like a ""ding"" sound from a video game. ",,"ツンツン,",tsun tsun,(1) *pinch pinch* *tug tug* *poke poke*;,(2) Bad-smelling. See also *pun pun*. ,,"テヘ,",tehe,(1) *tee hee* *giggle* *hehe*;,A state when you are slightly embarrassed. ,,"ドアシャアッ,",doashaa,*crash* *smash*,SFX for small explosion or a bunch of things falling all over the place. ,,,,,,,"ニコッ,",niko,(1) *smile* *grin*;,(1) See also *nipa* and *nita*. ,,ぬけぬけ,,,,,,,,,,,,*sluggishly*,,,,,*show*,,,"ビチャッ,",bicha,*splash* *splatter*,SFX for a small splashing sound. ,,ぶー,,,,,べち,,,,,,,,,,,,,,,"ミスミス,",misu misu,*under one's nose*,,,"ムフームフー,",mufu- mufu-,*wheeze wheeze*,SFX for breathing painfully or stressfully. ,,めき,,,,,,,,,,,,*my goodness*,,,,,,,,,,,,,"ララリ,",rarari,*ching ching*,"SFX for a light tinkling, ringing, bell-like, chime-like sound. Can be mechanical or digital, like from a video game. ",,,,,,,,,,,,,,,,,,,,,,,,,,,んごーんがー,,*mph mmm*,
discord.gg/S4w2n9t,,,,,,あーあー,,,,,,,,,,,,,,,,,,,,,,*evil laughter*,,,,,,,,ぎぎぃー,,,,,ぐー,,,,,"ゲンナリ,",gennari,*exhausted*,So much that it appears you've lost weight and look thinned out. ,,"ゴバア,",gobaa,*whoosh*,SFX for a powerful whirlwind or gust of wind. ,,,,,,,,,,,,,,,,,,,,,,,,,,,だぶだぶ,,(2) *loose*;,(2) Ex: large pants that are too baggy;,,ちゃら,,(2) *jingle*,,,つんつん,,(2) *stinky*;,,,てへ,,(2) *oops?*,,,どあしゃあっ,,,,,,,,,,にこっ,,(2) *smirk*,,,"ヌケヌケト,",nuke nuke to,*nonchalantly*,,,,,,,,"ノッシノッシ,",nosshi nosshi,*ka-thump ka-thump*,"SFX for heavy, lumbering footsteps or thuds. ",,,,*appeara*;,,,びちゃっ,,,,,,,,,,,,,,,"ボチャン,",bochan,*ker-plunk*,Like falling into water. ,,,,,,,みすみす,,,,,むふーむふー,,*gasp wheeze*,,,,,,,,"モク,",moku,(1) *eating* *munching*;,(1) See also *mugu*. ,,,,,,,,,,,,"ヨジ,",yoji,*crawl*,"The sound a cockroach makes when crawling up your back. May be related to *jiri jiri*, which is ""inching."" ",,ららり,,*cha-ching ching*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"アーン,",a-n,*open (mouth) wide*,Like when feeding babies. ,,"イエーイ,",ie-i,*yes!* •yay!* •alright!*,,,"ウッ。。。！,",u-,*uuhn...!*,"Sudden realization, pain. ",,"エエッ,",ee,*let's see...* ,SFX for thinking or pondering over something. ,,,,*evil cackling*,,,"ガーゴー,",ga- go-,*snore snore* *snoring* *snore*,Or *gaa goo*. ,,,,,,,"グー,",gu-,*clenching up* *clench*,Or *guu*. ,,げんなり,,,,,ごばあ,,,,,"サーッ,",sa-,*chill* *gloom*,"SFX for a worried, stressful atmosphere (can be incorporated as humor). ",,"ジャブジャブ,",jabu jabu,*splash splash*,SFX for water splashing. ,,"スーッ,",su-,(1) *breathe in*; ,(2) to be fast asleep; ,,,,,,,"ソリャ,",sorya,(1) *grunt*;,"(1) Same with オリャ (Oriya), a grunt type SFX before performing physical tasks;",,,,(3) *flabby*,"(3) Ex: belly fat, extra loose meat. ",,,,,,,,,(3) *prim* *demure*,,,,,,,,,,,,,,,,,,,,,,,ぬけぬけと,,,,,,,,,,のっしのっし,,,,,,,(12) *realize*,,,,,,,,"ブーブー,",bu- bu-,*oink*,Sound of a pig. ,,"ベチョ,",becho,(1) *drops*,(1) Something being dropped;,,ぼちゃん,,,,,,,,,,,,,,,,,*breathing hard*,,,"メキメキ,",meki meki,*quick progress*,,,もく,,(2) *smoke* *smoggy* *smoky* *smokey*,,,,,,,,,,,,,よじ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワーンワーン,",wa-n wa-n,*waah waah*,SFX for crying loudly and hysterically. ,,"ンク,",nku,*sniff* ,"See also *funka*, *hunka*, and *kunka*. "
Non-Hatigarm Admins,,,,,,あーん,,,,,いえーい,,,,,うっ。。。！,,*uff*,,,ええっ,,*hmm* *umm*,,,"オギャーオギャー,",ogya- ogya-,*crying*,,,がーごー,,,,,"ギィッ,",gii,*creak*,Ex: an old door opening. ,,ぐー,,,,,,,,,,,,,,,さーっ,,,,,じゃぶじゃぶ,,,,,すーっ,,(2) *zzz*; ,(3) To walk past someone completely (usually ignoring them) or in a ghostly fashion. ,,,,,,,そりゃ,,(2) *yell*,"(2) What to yell as you attack, a fighting taunt or war cry; see also *dorya*, *ora*, *orya*, and *uraa*. ",,,,*flappy*,,,"チャラチャラ,",chara chara,(1) *rattle* *clatter*;,(1) See also *bara bara* and *gara gara*;,,,,*standoffish* *stuck-up*,,,"テヒ,",tehi,*tee-hee*,Giggle. ,,"ドバ,",doba,(1) *splosh*; ,(1) When you pour a lot of liquid in one go. ,,,,,,,"ニコ,",niko,*smile* *grin*,"SFX for a pleasant, relaxed smile. ",,"ヌクヌク,",nuku nuku,*snuggly* ,,,,,,,,,,,,,,,*epiphany*,,,"ビチャビチャ,",bicha bicha,(1) *soaked* *drenched*;,(1) SFX describing the state of being wet throughout;,,ぶーぶー,,,,,べちょ,,*fall*;,(2) See also *becho-*. ,,,,,,,,,,,,,,,,,"ムフーン,",mufu-n,*sigh* *haahh*,"SFX for a big breath, big exhale. ",,めきめき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,わーんわーん,,*booh hoo*,,,んく,,*inhale*,
,,,,,,,,,,,"イエイ,",iei,*yes!* •yay!* •alright!*,,,,,*ugh*,,,,,,,,おぎゃーおぎゃー,,,,,,,,,,ぎぃっ,,,,,,,,,,"ゲプッ,",gepu,*bloated* *full*,,,"ゴチャゴチャ,",gocha gocha,(1) *all mixed up*,"(2) SFX for paper-shuffling, such as the moving of one pile of paper to another pile;",,,,,,,,,,,,,,(3) *ignore*,,,,,,,,,,,,,,,,,,ちゃらちゃら,,(2) *jingle*;,"(2) SFX for a light tinkling, bell-like sound. Can be mechanical, like a ""ding"" sound from a video game;",,,,*proud-looking*; ,,,てひ,,,,,どば,,(2) *slash*,,,,,,,,にこ,,,,,ぬくぬく,,*nice and warm*,,,,,,,,"ノッソリ,",nossori,*slowly*,See also *noso noso* and *nosori nosori*. ,,,,*suddenly*;,,,びちゃびちゃ,,(2) *splash* *splish*,(2) SFX for a small splashing sound ,,,,,,,,,(2) *wet*,,,"ボチ,",bochi,*click*,Rougher than *kachi* ,,,,,,,,,,,,むふーん,,,,,"メラメラ,",mera mera,*burning* *on fire*,"SFX for flames burning, such as a campfire; can also be a mental burning. ",,"モクモク,",moku moku,(1) *totally absorbed*;,(1) To do something in an absorbed manner. ,,,,,,,,,,,,"ヨジヨジ,",yoji yoji,(1) *climb climb*; ,(2) Moving impatiently. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*bawling*,,,,,,
ckrit,,,,,,"アーンアーン,",a-n a-n,*cry* *mouth open*,"Crying with the mouth open, or opening mouth wide. ",,いえい,,,,,"ウーム,",u-mu,hmmm,,,"エヘン,",ehen,(1) *ahem*;,"In a very full-of-themselves, confident (or over-confident) manner. ",,"オギャァオギャァ,",ogya- ogya-,*waaa waaa*,SFX for crying baby. ,,"ガーン,",ga-n,(1) *shock*;,(2) Sound of a gong;,,,,,,,"グビッ,",gubi,*gulp*,"SFX for a swallowing motion, like when drinking a gulp of water. ",,げぷっ,,,,,ごちゃごちゃ,,*cluttered*,"(3) SFX for confusion, relative to surroundings;",,"サァァ,",saa,*fwsssshh*,"Light rain, or rain suddenly starting to fall.",,"ジャッジャッ,",jajja,*cook* *fry* *sizzle*,SFX usually for when you are frying something in the kitchen. ,,,,,,,,,,,,,,,,,"ダダダ,",dadada,*running away*,"SFX for fast running. See also *ta*, *dododo*, and *tatata*. ",,,,(3) *attractive* *nice*;,(3) SFX for dressing in a manner that attracts attention;,,,,(4) *sulky* *sullen* *morose*,,,,,,,,,,,,,,,,,,,,,,,,,*cozy*,,,,,,,,のっそり,,*lazily*,,,,,(13) *rush* dash*;,,,,,,,,"ブーブー,",bu- bu-,*boo boo*,"SFX for discouraging, negative feedback, such as disagreement by an audience or a crowd. ",,,,*lick*,,,ぼち,,,,,,,,,,,,,,,,,,,,めらめら,,*crackle crackle*,,,もくもく,,(2) *smoke* *smoggy* *smoky* *smokey*,,,,,,,,,,,,,よじよじ,,(2) *shuffle shuffle*,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ワーワー,",wa-wa-,(1) *roar*;,(1) (A crowd's) excited roar. See also *wai wai* and *wara wara*;,,"ンマッ,",nma,*geh* *gah*,SFX for shock. 
,,,,,,あーんあーん,,,,,"イジイジ,",iji iji,*paranoid face* *down*,"A paranoid expression in the eyes, a down mood. ",,うーむ,,,,,えへん,,(2) *See what I can do?* *showing off* *see?*,,,おぎゃぁおぎゃぁ,,,,,がーん,,(2) *gooongg*;,"(3) A state of depression, disappointment, or dramatized desperation. ",,"ギィー,",gii-,(1) *creak*;,(1) Ex: an old door opening;,,ぐびっ,,*drink*,,,"ゲラゲラ,",gera gera,(1) *giggle giggle*,(1) Like *kera kera* but when you are giggling quite loudly.,,,,*messy*;,(4) SFX for clutter and confusion;,,さぁぁ,,*rainfall*,,,じゃっじゃっ,,,,,"スベスベ,",sube sube,*smooth* *silky*,,,,,,,,"ソソクサ,",sosokusa,*sneak away*,"To leave the scene quickly, usually to avoid conflict or further troubles, or because of the intensity of the atmosphere. ",,だだだ,,*tmp tmp tmp*,,,,,(4) *flirt*;,(4) SFX for being flirtatious in terms of dress and manner; ,,"ツル,",tsuru,(1) *slip*;,(1) As in falling;,,"テカテカ,",teka teka,*shining brightly*,"Commonly used to describe a person's bald head, as well as greasy hair. ",,"ドビ,",dobi,*miss*,A missed kick. ,,,,,,,"ニコニコ,",niko niko,*smile smile*,,,"ヌメヌメ,",nume nume,*squelch squelch*,"SFX for moving through something sticky and slimy, like through mud. See also *nuru nuru*. ",,,,,,,,,*heavily*,,,,,(14) *slap* *smack*;,,,,,,,,ぶーぶー,,*booing*,,,"ベチョー,",becho-,(1) *soaked*,(1) Combination of the two;,,,,,,,,,,,,,,,,,"ムグ,",mugu,*eating* *munch*,"Munching with closed mouth, see also *moku*. ",,,,*crackle pop*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,わーわー,,(2) *chatter* *rustle*,(2) SFX for background noise of pedestrians on the street. ,,んまっ,,,
